m49code,region
104,
108,
11,
116,
116,"Kandal Province, and wholesalers and retailers in wet markets in the capital of Phnom Penh, about 35 km apar"
12,
120,
120,Boyo
124,
143,
144,
145,
148,
15,
150,
152,
152,North Patagonia Region
156,
156,Fujian Province
156,"Daxing, Tongxian, and Yanqing"
156,"Daxing, Tongxian, and Yanqing counties, which are satellite towns of Beijing, and in Jixian County of Hebei Province, which is a suburb very close to Beijing"
156,Shandong Province
156,Jiangan district
156,Xiasha town
156,Cixi county
156,Beijing
156,Dingxi Prefecture  in Gansu
156,"Beijing, Xinfadi and Jinxiudadi"
156,Jiangsu
156,Shandong
156,Sinkiang
156,Inner Mongolia
156,Hebei
156,Qinghai
156,Hubei
156,Shanxi
156,Henan
156,Yunnan
156,Sichuan
156,Ningxia
156,Anhui
156,Jiangxi
156,Shaanxi
156,Gansu
156,Jilin
156,Hunan
156,Guangxi
156,Heilongjiang
156,Chongqing
156,Guizhou
156,Liaoning
156,Fujian
156,Guangdong
156,Zhejiang
156,Tiajin
170,
180,
188,
188,North Area Cartago County
192,
2,
202,
204,
204,none
204,Central
204,Northern
204,Bante
204,Bante in the Zou province
204,Central Benin
204,Southern Benin
204,Southern and Central Benin
204,Parakou (Borgou)
208,
21,
214,
218,
218,Pichincha
218,El Carchi
218,"El Carchi, Imbabura, and Pichincha"
222,
231,
231,Southern Region
231,Oromiya Region
231,Amhara Region
231,Adami Tulu - Jido Kombolcha and Adama Districts
231,Addis Ababa and Adama cities
231,Gamo Gofa zone of Southern Nations Nationalities and Peoples Region (SNNPR); Addis Ababa and Adama cities
231,Amhara
231,Oromia
232,
24,
242,
246,
250,
266,
270,
275,West Bank and Gaza Strip
275,"Qalqilya and Tulkarem, West Bank"
276,
288,
288,-
288,Accra and Tamale
288,Northern Ghana
288,"Northern, Upper East and Upper West Regions)"
288,Upper Eastern
288,Northern
288,Northern Region
288,Eastern Ghana
288,Brong-Ahafo Region
288,"In Techiman, main yam market"
288,"Volta region, Northern region, Brong-Ahafo."
288,coastal and transition ecological zones of Ghana 
288,coastal and transition ecological zones of Ghana
288,Savanna and transition ecological zones of Ghana
288,forest and coastal ecological zones of Ghana
288,Sites: transition ecological zone of Ghana
288,Sites: transitionecological zone ofGhana
288,"Savanna, transition and coastal ecological zones of Ghana"
288,Ejisu Juabeng
288,Nerica 1 & Nerica 2
288,Kumasi and its environments (including Ejura) and Tamale
288,Site: Kumasi & Tamale.
288,? Sites: coastal and transition ecological zones of Ghana
288,Kumasi & tamale.
288,Ashanti Region of Ghana
288,Brong - Ahafo region (highly productive zone)
288,Suhum Kraboa Coaltar district in the Eastern region
288,Sawla
288,Kintampo
288,Kintampo and Sawla
288,Tamale
31,
32,
320,
320,"Ixcan, Polochic and El Peten region"
320,"Chimaltenango, Escuintla, Guatemala, Quetzaltenango, Sacatepequez, San Marcos, Solola, and Totonicapan"
324,
328,
332,
34,
340,
340,"Choluteca, Copan, El Paraiso, Francisco Morazan, Intibuca, La Paz, Lempira, Ocotepeque, Olancho, Santa Barbara, and Valle."
35,
356,
356,Uttarakhand
356,bhabhar
356,Madhya Pardesh
356,Assam
356,West Bengal
356,Gujarat
356,Madhya Pradesh
356,Maharashtra
356,Rajasthan
356,Punjab
356,Karnataka
356,Tamil Nadu
356,Western Uttar Pradesh
356,Himachal Pradesh
356,Jharkhand
356,Haryana
356,Andhra Pradesh
356,Kerala
356,Bihar
356,Uttar Pradesh
356,Odisha
356,Eastern Himalayan
356,Anadhra Pradesh
36,
360,
364,
364,North Eastern
380,
384,
384,Northern
398,
400,
404,
404,"Nakuru market, Kenya"
404,"Upper Athi River Region; Kilala, Ikanganya,  Kikumbulyu, Kikoko, Nguumo, Kiou, Wote, Kee, Mbiuni, Mwala and Mwani."
404,Trans-Nzoia-West District
404,Lugari
404,"Milly and Allfruits are based in Coast Province, while Kevian and Sunny are based in Central Kenya near Thika"
404,Nairobi
404,Mombasa
404,"four main potatogrowing counties in Kenya, namely Bomet and Nakuru Counties in the Rift Valley area, Nyandarua County in Central Kenya and Meru County in Eastern Kenya"
404,Nyandarua
404,"Lower Eastern region (Makueni, Kitui and Machakos counties"
404,Dry Transitional Zone
404,Moistmid Altitude Zone
404,Dry Mid Altitude Zone
404,Lowland Tropical Zone
404,Moisttransitional Zone
404,Highland Tropical Zone
408,
410,
410,"North Hwanghae, South Pyongan and Pongyang City"
418,
419,
422,"Mount Lebanon, Akkar, and West Bekaa"
422,Mount Lebanon - Kesrwan
426,
430,
434,
450,
454,
454,The Shire Valley agricultural development area
454,Namingongo
454,Zulu
458,
466,
478,
48,
484,
50,
50,Comilla distric
50,Karnataka
50,Rangpur and Dinazpur district
50,Mymensingh
50,Khulna
50,Comilla
50,Dinajpur
50,Region - 4
50,Region - 3
50,Region - 5
50,Region 4
50,Region - 1
50,Region 3
50,Region - 2
50,Region 1
50,Region 5
50,Jessore
50,Munshigonj
50,Thakurgaon
50,Bogra
50,Rajshahi
50,Bogra and Dakha
50,Rangpur
50,Dhaka and Mymensingh
50,4 Upazillas of Chapai Nowabgonj and 2 Upazillas of Rajshahi.
50,"Baneshar Bazar assesmble market of Rajshahi district. In contrast, the losses were lower in the surveyed markets of Chapai Nowabgonj,"
50,"Chapai Nowabgonj, Dhaka and Mymensingh"
50,Punjab
50,Uttar Pradesh
504,
504,Saiss
504,"Tafilalet, Draa"
504,Taounate
504,Midelt
504,"Ait Baamrane, Rhamna"
504,Settat
504,Processing unit in Mekn?s
504,Tadla
504,Casablanca
504,Meknes
504,CAM Ben Slimane
504,Bensilmane
504,Processing unit in Casablanca
504,Silo at the port of Casablanca
504,CAM Meknes
504,Tedla
508,
508,Manica and Zambezia Provinces
51,
512,
516,
524,
524,Kosi Zone in the Eastern Hills
524,"Birgunj, Nepal to Patna"
524,"Bhairahwa, Nepal to Gorakhpur, India"
524,"Birtamod, Nepal to Silguri, India"
524,"Kapurkot, Salyan, Nepal to Azadpur market, New Delhi, India"
524,"Kapurkot, Shalyan, Nepal to Sitapur market Lucknow, India"
524,Syangja (mid hills) to Butwal (markets in the plains)
524,Jumla to Nepalgunj.
524,from Jumla
524,Jumla
524,"Kathmandu from Kapurkot, Salyan (western hills) and Lal Bandi, Sarlahi (Terai)"
524,Dhankuta to Kathmandu by bus
524,Dhankuta to Kathmandu
524,Tibet and Bangladesh
524,Marpha to Pokhara
524,Budhimorang and Khuaphok
524,"Dhankuta District,"
524,Bhirgaon
524,Chhintang
524,Dhankuta District
524,Maunabudhuk
524,"Krishi Bazar, Dharan"
524,Khoku
524,Dhankuta
524,Krishi Bazar
53,
554,Fiji Export Market
554,
558,
562,
562,Niamey
566,-
566,
566,"Mokwa, Lokoja (Guinea savanna), Onitsha and Aba (forest) area"
566,Northern
566,Abavo
566,"Rivers State A(Degema, Bonny, Port Harcourt); B(tai, omuma, oyigboo); C(ahoada West, Emohua)"
566,Kogi and Niger lowlands
566,Ogun state
578,
586,
586,Northern Areas
586,Northern region
586,"Balochistan - Quetta, Pishin and Mastung districts"
586,Punjab
586,Sindh
586,Sargodha
591,
591,Chiriqui
600,
604,
604,Assam
604,Selva and Coast Region
604,Lima
604,Junin and Ayacucho
608,
608,"Mindanao, Philippines"
608,"grown in Tupi, South Cotabato, in Mindanao, and distributed in various supermarkets in Metro Manila"
608,Laguna
608,Nueva
608,Calabarzon
608,"Orani, Bataan"
608,Oriental Mindoro
608,Blumentritt
608,Bataan
608,Divisoria
624,
626,
626,Baucau
646,
659,
662,
68,
682,
686,
686,Bambey
686,Louga
688,
694,
704,
706,
710,
716,
716,Mbire District
716,Guruve District
716,Guruwe District
72,
728,
729,
748,
752,
756,
76,
760,
764,
768,
780,
788,
788,Bizerte and Siliana
788,Siliana
788,Bizerte
792,
800,
800,Apac Districy
800,Lira District
800,Apac and Lira districts
800,Apac District
800,Apac and Lira districts (2015)
800,Oyam district
804,
818,
818,Upper
818,Sharkia and Nubaria
818,Nubaria
826,
834,
834,Kariakoo Central Market
834,Mkuyuni ward in Morogoro region
834,Dodoma and Manyara
834,"Chalinze, Lugoba and Kiwangwa"
834,Morogoro
834,Kiteto District
834,Kilosa and Kondoa Districts
834,Mbozi district
84,
840,
854,
858,
862,
894,"Chivuna,  Chalimbana,"
894,
